site_id,encounters,readmission_rate_pct,data_quality_exception_rate_pct,avg_length_of_stay_days
H12,5691,12.48,4.36,4.53
H03,4913,8.81,4.36,3.34
H07,5942,8.58,4.31,3.34
H10,5162,8.0,3.53,3.34
H14,4593,8.3,3.35,3.32
H04,4636,12.92,3.24,4.54
H19,4902,7.65,3.02,3.37
H01,5490,8.34,3.01,3.36
H05,5194,8.01,3.0,3.35
H16,5311,12.43,2.97,4.47
H20,5128,13.18,2.89,4.51
H17,6028,8.0,2.89,3.35
H13,4910,8.78,2.85,3.32
H02,5089,8.72,2.85,3.38
H11,4734,8.53,2.85,3.33
H09,4642,8.32,2.71,3.34
H18,5473,9.26,2.69,3.36
H08,5984,13.12,2.62,4.52
H15,4732,8.64,2.62,3.33
H06,5790,8.64,2.57,3.34
