facility,month,responses,top_box_pct
North Valley,2025-01,130,83.5
North Valley,2025-02,130,81.0
North Valley,2025-03,130,76.7
North Valley,2025-04,130,81.2
North Valley,2025-05,130,84.8
North Valley,2025-06,130,76.4
North Valley,2025-07,130,84.2
North Valley,2025-08,130,81.4
North Valley,2025-09,130,76.2
North Valley,2025-10,130,85.9
North Valley,2025-11,130,83.2
North Valley,2025-12,130,82.1
Canyon View,2025-01,96,81.9
Canyon View,2025-02,96,81.0
Canyon View,2025-03,96,80.1
Canyon View,2025-04,96,82.2
Canyon View,2025-05,96,80.0
Canyon View,2025-06,96,78.3
Canyon View,2025-07,96,81.5
Canyon View,2025-08,96,77.9
Canyon View,2025-09,96,79.2
Canyon View,2025-10,96,78.4
Canyon View,2025-11,96,77.5
Canyon View,2025-12,96,81.3
Wasatch,2025-01,158,80.2
Wasatch,2025-02,158,83.0
Wasatch,2025-03,158,77.2
Wasatch,2025-04,158,83.0
Wasatch,2025-05,158,78.9
Wasatch,2025-06,158,85.3
Wasatch,2025-07,158,83.0
Wasatch,2025-08,158,76.5
Wasatch,2025-09,158,84.2
Wasatch,2025-10,158,84.6
Wasatch,2025-11,158,80.6
Wasatch,2025-12,158,84.5
Lakeview,2025-01,118,79.6
Lakeview,2025-02,118,78.7
Lakeview,2025-03,118,77.3
Lakeview,2025-04,118,79.9
Lakeview,2025-05,118,81.5
Lakeview,2025-06,118,84.1
Lakeview,2025-07,118,84.5
Lakeview,2025-08,118,76.6
Lakeview,2025-09,118,85.4
Lakeview,2025-10,118,80.6
Lakeview,2025-11,118,85.3
Lakeview,2025-12,118,85.3
Red Rock,2025-01,91,81.4
Red Rock,2025-02,91,78.6
Red Rock,2025-03,91,78.5
Red Rock,2025-04,91,80.0
Red Rock,2025-05,91,80.6
Red Rock,2025-06,91,77.6
Red Rock,2025-07,91,81.8
Red Rock,2025-08,91,81.9
Red Rock,2025-09,91,78.6
Red Rock,2025-10,91,82.7
Red Rock,2025-11,91,80.6
Red Rock,2025-12,91,80.6
Mesa Ridge,2025-01,105,81.4
Mesa Ridge,2025-02,105,81.9
Mesa Ridge,2025-03,105,80.1
Mesa Ridge,2025-04,105,81.1
Mesa Ridge,2025-05,105,81.7
Mesa Ridge,2025-06,105,81.5
Mesa Ridge,2025-07,105,84.9
Mesa Ridge,2025-08,105,77.7
Mesa Ridge,2025-09,105,85.2
Mesa Ridge,2025-10,105,81.5
Mesa Ridge,2025-11,105,77.8
Mesa Ridge,2025-12,105,77.3
