run_id,run_date,report_name,source_system,run_status,duration_minutes,validation_exception_count
R000Qu,2025-01-01,Quality & Safety,ADT,failed,20.5,4
R000Ca,2025-01-01,Care Utilization,ADT,success,13.3,0
R000Op,2025-01-01,Operations Flow,Finance mart,success,24.1,5
R001Qu,2025-01-02,Quality & Safety,Finance mart,success,15.8,1
R001Ca,2025-01-02,Care Utilization,Finance mart,success,32.1,6
R001Op,2025-01-02,Operations Flow,Finance mart,success,8.6,4
R002Qu,2025-01-03,Quality & Safety,Finance mart,success,18.0,6
R002Ca,2025-01-03,Care Utilization,ADT,success,16.0,3
R002Op,2025-01-03,Operations Flow,ADT,success,24.4,1
R003Qu,2025-01-04,Quality & Safety,ADT,success,19.5,3
R003Ca,2025-01-04,Care Utilization,EHR,success,31.0,2
R003Op,2025-01-04,Operations Flow,ADT,success,36.6,0
R004Qu,2025-01-05,Quality & Safety,Finance mart,success,6.5,0
R004Ca,2025-01-05,Care Utilization,Finance mart,success,9.9,7
R004Op,2025-01-05,Operations Flow,ADT,success,7.8,2
R005Qu,2025-01-06,Quality & Safety,Finance mart,success,16.1,6
R005Ca,2025-01-06,Care Utilization,Finance mart,success,26.9,4
R005Op,2025-01-06,Operations Flow,Finance mart,success,37.3,3
R006Qu,2025-01-07,Quality & Safety,Finance mart,success,25.5,2
R006Ca,2025-01-07,Care Utilization,Finance mart,success,13.3,0
R006Op,2025-01-07,Operations Flow,ADT,success,8.1,2
R007Qu,2025-01-08,Quality & Safety,Finance mart,success,8.0,0
R007Ca,2025-01-08,Care Utilization,EHR,success,7.3,1
R007Op,2025-01-08,Operations Flow,EHR,success,32.2,0
R008Qu,2025-01-09,Quality & Safety,EHR,success,24.2,5
R008Ca,2025-01-09,Care Utilization,Finance mart,success,21.2,2
R008Op,2025-01-09,Operations Flow,ADT,success,10.3,3
R009Qu,2025-01-10,Quality & Safety,EHR,success,19.5,3
R009Ca,2025-01-10,Care Utilization,Finance mart,success,8.2,5
R009Op,2025-01-10,Operations Flow,EHR,failed,24.1,0
R010Qu,2025-01-11,Quality & Safety,EHR,success,29.0,4
R010Ca,2025-01-11,Care Utilization,EHR,success,23.5,1
R010Op,2025-01-11,Operations Flow,EHR,success,34.7,1
R011Qu,2025-01-12,Quality & Safety,Finance mart,success,28.7,1
R011Ca,2025-01-12,Care Utilization,Finance mart,success,6.4,1
R011Op,2025-01-12,Operations Flow,ADT,success,9.4,2
R012Qu,2025-01-13,Quality & Safety,ADT,success,29.2,1
R012Ca,2025-01-13,Care Utilization,ADT,success,28.6,1
R012Op,2025-01-13,Operations Flow,Finance mart,success,28.6,2
R013Qu,2025-01-14,Quality & Safety,EHR,success,19.6,4
R013Ca,2025-01-14,Care Utilization,EHR,success,32.8,3
R013Op,2025-01-14,Operations Flow,Finance mart,success,25.0,0
R014Qu,2025-01-15,Quality & Safety,Finance mart,success,34.1,7
R014Ca,2025-01-15,Care Utilization,EHR,success,18.2,1
R014Op,2025-01-15,Operations Flow,ADT,success,36.2,2
R015Qu,2025-01-16,Quality & Safety,ADT,success,6.7,5
R015Ca,2025-01-16,Care Utilization,ADT,success,36.4,3
R015Op,2025-01-16,Operations Flow,Finance mart,success,37.3,5
R016Qu,2025-01-17,Quality & Safety,EHR,success,18.7,5
R016Ca,2025-01-17,Care Utilization,Finance mart,success,21.7,2
R016Op,2025-01-17,Operations Flow,ADT,success,33.9,4
R017Qu,2025-01-18,Quality & Safety,EHR,success,31.6,7
R017Ca,2025-01-18,Care Utilization,Finance mart,success,15.7,7
R017Op,2025-01-18,Operations Flow,Finance mart,success,34.3,6
R018Qu,2025-01-19,Quality & Safety,EHR,success,22.0,4
R018Ca,2025-01-19,Care Utilization,ADT,success,19.2,3
R018Op,2025-01-19,Operations Flow,Finance mart,success,33.3,6
R019Qu,2025-01-20,Quality & Safety,ADT,success,27.0,2
R019Ca,2025-01-20,Care Utilization,Finance mart,success,14.2,3
R019Op,2025-01-20,Operations Flow,EHR,success,17.7,4
R020Qu,2025-01-21,Quality & Safety,ADT,success,15.8,4
R020Ca,2025-01-21,Care Utilization,Finance mart,success,35.3,2
R020Op,2025-01-21,Operations Flow,EHR,success,8.2,1
R021Qu,2025-01-22,Quality & Safety,ADT,success,34.3,6
R021Ca,2025-01-22,Care Utilization,Finance mart,failed,16.8,0
R021Op,2025-01-22,Operations Flow,ADT,success,22.2,3
R022Qu,2025-01-23,Quality & Safety,ADT,success,6.7,2
R022Ca,2025-01-23,Care Utilization,Finance mart,success,22.5,1
R022Op,2025-01-23,Operations Flow,Finance mart,success,11.7,3
R023Qu,2025-01-24,Quality & Safety,EHR,success,18.1,5
R023Ca,2025-01-24,Care Utilization,EHR,success,14.3,7
R023Op,2025-01-24,Operations Flow,EHR,failed,26.8,4
R024Qu,2025-01-25,Quality & Safety,EHR,success,35.7,6
