month,report_name,eligible_leaders,monthly_active_users,guided_demo_attendees,self_service_sessions
2025-01,Quality & Safety,48,37,19,133
2025-01,Care Utilization,48,41,8,119
2025-01,Operations Flow,48,27,8,176
2025-02,Quality & Safety,48,28,23,270
2025-02,Care Utilization,48,44,20,261
2025-02,Operations Flow,48,29,16,237
2025-03,Quality & Safety,48,34,21,119
2025-03,Care Utilization,48,34,18,147
2025-03,Operations Flow,48,42,21,202
2025-04,Quality & Safety,48,27,9,205
2025-04,Care Utilization,48,34,12,300
2025-04,Operations Flow,48,40,10,120
2025-05,Quality & Safety,48,37,11,292
2025-05,Care Utilization,48,31,24,162
2025-05,Operations Flow,48,41,15,229
2025-06,Quality & Safety,48,31,9,114
2025-06,Care Utilization,48,28,22,226
2025-06,Operations Flow,48,36,17,246
